Timestamp,ชื่อคอนโด,ชั้นที่,จำนวนชั้นทั้งหมด,เขต(ที่อยู่),ขนาดห้อง(ตรม),ระยะห่าง Bts(km),ที่จอดรถต่อห้อง,ฟิตเนส,สระว่ายน้ำ,ระยะห่างจากห้าง(km),ระยะทางห่างขึ้นทางด่วน(km),ระบบรักษาความปลอดภัย,ราคาค่าส่วนกลาง,จำนวนห้องนอน,จำนวนห้องน้ำ,ราคาประเมินของแถม,เจ้าของโครงการ,ราคาประเมินที่ดิน(บาท/ตารางวา),ปีที่สร้าง(พ.ศ.),ราคาห้อง
2019/04/05 8:39:03 PM GMT+7,The Niche Bangkae,5,8,บางแค,30.50,1.00,1,มี,มี,1.50,13.00,รปภ;คียการด์;กล้องวงจรปิด,13908,1,1,1960000,บริษัท เสนาดีเวลลอปเม้นท์ จำกัด (มหาชน),64262,2553,1960000
2019/04/05 8:51:04 PM GMT+7,Fuse Sense Bangkae,11,24,บางแค,53.75,9.80,1,มี,มี,1.70,12.60,รปภ;คียการด์;กล้องวงจรปิด,12000,1,1,1290000,Pruksa Real Estate,1290000,2558,1290000
2019/04/05 10:32:11 PM GMT+7,Ease ,7,18,พระราม2,27.00,20.00,1000,มี,มี,0.80,6.40,รปภ;คียการด์;กล้องวงจรปิด,4000,1,1,70000,แลนด์แอนด์เฮ้าส์,0,2562,1.8 ล้าน
2019/04/06 1:47:36 AM GMT+7,The lake metro park,1,8,ภาษีเจริญ,34.00,2.00,1,มี,มี,3.00,8.00,รปภ;คียการด์;กล้องวงจรปิด,12000,1,1,200000,PF,120000,2559,1800000
2019/04/06 2:18:36 AM GMT+7,เดอะ คีย์ MRT เพชรเกษม 48,7,30,ภาษีเจริญ,27.80,1.30,46%,มี,มี,1.50,10.20,รปภ;คียการด์;กล้องวงจรปิด,55,1,1,400000,แลนด์แอนด์เฮ้าส์,103900,2561,2.89
2019/04/06 2:28:33 AM GMT+7,MAXXI Ratchayothin – Phahol 34,3,8,จตุจักร,22.00,1.10,79,มี,มี,3.80,4.80,รปภ;คียการด์;กล้องวงจรปิด,1100,3,1,,บริษัท แม็กซิมัส เอสเตท จำกัด ร่วมกับ บจก.อาร์เคพลัส เอสเตท จำกัด,79090,2561,1.74
2019/04/06 2:39:41 AM GMT+7,MAGNIX Ramintra 21,4,8,บางเขน,23.00,0.30,29,มี,มี,1.50,5.40,รปภ;คียการด์;กล้องวงจรปิด,1035,1,1,,บริษัท เดอะ รอยัล เรสซิเดนซ์ จำกัด,73600,2562,1.59
2019/04/06 2:47:17 AM GMT+7,ชีวาทัย เพชรเกษม 27 ,10,26,ภาษีเจริญ,23.00,0.30,246,มี,มี,0.10,14.70,รปภ;คียการด์;กล้องวงจรปิด,805,1,1,,บริษัท ชีวาทัย จำกัด (มหาชน),85000,2559,2.2
2019/04/06 2:53:05 AM GMT+7,แอสปาย สุขุมวิท-อ่อนนุช,3,8,สวนหลวง,26.50,2.30,206,มี,มี,0.90,5.10,รปภ;คียการด์;กล้องวงจรปิด,1511,1,1,,บริษัท เอพี (ไทยแลนด์) จำกัด (มหาชน),86000,2562,1.89
2019/04/10 2:50:47 PM GMT+7,Present Condo,3,8,ธนบุรี,32.00,4.20,,มี,มี,2.10,7.00,รปภ;คียการด์;กล้องวงจรปิด,550,1,1,100000,บริษัท พรีบิลท์ จำกัด (มหาชน),90000,2559,1.39 MB
2019/04/10 2:52:44 PM GMT+7,PE-LA วุฒากาศ,9,21,จอมทอง,60.50,0.10,47%,มี,มี,1.30,6.50,รปภ;คียการด์;กล้องวงจรปิด,540,2,2,100000,บริษัท ชนันธร ดีเวลลอปเม้นท์ กรุ๊ป จำกัด,85000,2559,2.3
2019/04/10 2:54:39 PM GMT+7,NYE By Sansiri,10,30,คลองสาน,35.00,35.00,52%,มี,มี,1.50,2.60,รปภ;คียการด์;กล้องวงจรปิด,550,1,1,100000,บริษัท แสนสิริ จำกัด (มหาชน),145000,2559,3.3 MB
2019/04/10 2:56:41 PM GMT+7,นิช ไอดี พระราม 2- ดาวคะนอง,5,8,จอมทอง,28.00,7.00,48%,มี,มี,5.00,1.00,รปภ;คียการด์;กล้องวงจรปิด,550,1,1,,บริษัท เสนาดีเวลลอปเม้นท์ จำกัด (มหาชน),100000,2558,1.62 MB
2019/04/10 2:58:39 PM GMT+7,แอสปาย สาทร-ตากสิน (คอปเปอร์ โซน),5,21,ภาษีเจริญ,26.00,0.55,35%,มี,มี,3.00,7.70,รปภ;คียการด์;กล้องวงจรปิด,390,1,1,150000,บริษัท เอพี (ไทยแลนด์) จำกัด (มหาชน),175000,2558,1.99 MB
